,expt,rig,exptName,exptDate,maleGT,maleDOB,maleAge,femaleGT,femaleDOB,femaleAge,cop,copFrame,exptpath,songpath,datapath
22,20230517_094418,left,20230517_094418left,2023-05-17,NM91,2023-05-11,6,pc2_tnt,2023-05-12,5,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_094418/left/20230517_094418left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_094418/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_094418/left/vSampleNumber_at_Frame.h5"
24,20230517_102122,left,20230517_102122left,2023-05-17,NM91,2023-05-11,6,pc2_tnt,2023-05-12,5,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_102122/left/20230517_102122left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_102122/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_102122/left/vSampleNumber_at_Frame.h5"
25,20230517_111345,right,20230517_111345right,2023-05-17,NM91,2023-05-10,7,pc2_control,2023-05-12,5,1,13797,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_111345/right/20230517_111345right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_111345/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_111345/right/vSampleNumber_at_Frame.h5"
26,20230517_111345,left,20230517_111345left,2023-05-17,NM91,2023-05-10,7,pc2_control,2023-05-12,5,1,10053,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_111345/left/20230517_111345left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_111345/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_111345/left/vSampleNumber_at_Frame.h5"
27,20230517_132156,right,20230517_132156right,2023-05-17,NM91,2023-05-11,6,pc2_tnt,2023-05-12,5,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_132156/right/20230517_132156right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_132156/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_132156/right/vSampleNumber_at_Frame.h5"
28,20230517_132156,left,20230517_132156left,2023-05-17,NM91,2023-05-10,7,pc2_control,2023-05-12,5,1,36215,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_132156/left/20230517_132156left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_132156/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_132156/left/vSampleNumber_at_Frame.h5"
29,20230517_141602,right,20230517_141602right,2023-05-17,NM91,2023-05-11,6,pc2_tnt,2023-05-12,5,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_141602/right/20230517_141602right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_141602/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_141602/right/vSampleNumber_at_Frame.h5"
30,20230517_141602,left,20230517_141602left,2023-05-17,NM91,2023-05-10,7,pc2_control,2023-05-12,5,1,19377,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_141602/left/20230517_141602left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_141602/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_141602/left/vSampleNumber_at_Frame.h5"
31,20230517_145412,right,20230517_145412right,2023-05-17,NM91,2023-05-11,6,pc2_control,2023-05-12,5,1,10000,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_145412/right/20230517_145412right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_145412/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_145412/right/vSampleNumber_at_Frame.h5"
32,20230517_145412,left,20230517_145412left,2023-05-17,NM91,2023-05-11,6,pc2_control,2023-05-12,5,1,4679,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_145412/left/20230517_145412left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_145412/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_145412/left/vSampleNumber_at_Frame.h5"
